year,ogółem,gminy miejskie,gminy wiejskie,gminy miejsko-wiejskie,ogółem_,gminy miejskie_,gminy wiejskie_,gminy miejsko-wiejskie_
year,total,urban gminas,rural gminas,urban-rural gminas,total_,urban gminas_,rural gminas_,urbal-rural gminas
2010,96.87,99.90,90.59,98.16,99.5,99.8,98.8,99.8
2011,97.19,99.91,91.66,98.22,99.5,99.8,98.9,99.7
2012,97.29,99.93,91.90,98.39,99.7,99.9,99.2,99.7
2013,97.48,99.96,92.42,98.54,99.8,100.0,99.4,99.9
2014,97.59,99.97,92.85,98.45,99.8,100.0,99.5,99.9
2015,97.78,100.00,93.32,98.64,99.8,100.0,99.4,99.9
2016,97.85,100.0,93.47,98.74,99.9,100.0,99.6,99.9
2017,97.98,100.0,93.63,99.12,99.9,100.0,99.8,100.0
2018,98.08,100,94.04,99.07,99.9,100.0,99.8,100.0